timestamp,open,high,low,close,volume
2025-06-27 10:40:00,549.39,549.5551,549.27,549.42,253151
2025-06-27 10:45:00,549.45,549.49,549.13,549.235,209495
2025-06-27 10:50:00,549.23,549.27,548.3,548.82,452831
2025-06-27 10:55:00,548.83,548.84,548.2,548.4512,351104
2025-06-27 11:00:00,548.46,548.77,548.1403,548.69,293934
2025-06-27 11:05:00,548.68,549.04,548.615,548.86,303850
2025-06-27 11:10:00,548.86,549.11,548.83,548.915,216507
2025-06-27 11:15:00,548.92,548.94,548.46,548.815,226477
2025-06-27 11:20:00,548.82,549.18,548.63,549.16,211666
2025-06-27 11:25:00,549.17,549.26,549.0,549.26,214868
2025-06-27 11:30:00,549.26,549.62,549.19,549.61,290483
2025-06-27 11:35:00,549.62,549.74,549.52,549.71,308091
2025-06-27 11:40:00,549.72,549.855,549.56,549.79,243080
2025-06-27 11:45:00,549.79,549.93,549.62,549.885,191117
2025-06-27 11:50:00,549.895,549.91,549.63,549.79,157079
2025-06-27 11:55:00,549.7851,549.84,549.63,549.655,208377
2025-06-27 12:00:00,549.66,549.66,549.36,549.48,362068
2025-06-27 12:05:00,549.47,549.64,549.43,549.51,220384
2025-06-27 12:10:00,549.5,549.63,549.4,549.45,177387
2025-06-27 12:15:00,549.47,549.5,548.92,549.03,314294
2025-06-27 12:20:00,549.05,549.2301,548.92,549.065,242554
2025-06-27 12:25:00,549.05,549.405,549.0,549.36,292173
2025-06-27 12:30:00,549.37,549.4293,549.22,549.249,191695
2025-06-27 12:35:00,549.25,549.25,548.99,549.105,241638
2025-06-27 12:40:00,549.12,549.23,548.78,548.93,268482
2025-06-27 12:45:00,548.935,548.99,548.69,548.8293,246719
2025-06-27 12:50:00,548.835,549.15,548.71,549.1,292447
2025-06-27 12:55:00,549.12,549.375,549.03,549.3,349690
2025-06-27 13:00:00,549.28,549.3,548.83,549.02,356443
2025-06-27 13:05:00,549.02,549.18,548.93,549.16,197843
2025-06-27 13:10:00,549.16,549.37,549.15,549.3199,189376
2025-06-27 13:15:00,549.31,549.33,548.95,549.088,157274
2025-06-27 13:20:00,549.09,549.0952,548.61,548.775,192719
2025-06-27 13:25:00,548.78,548.89,548.65,548.76,226140
2025-06-27 13:30:00,548.76,548.925,548.6,548.64,215733
2025-06-27 13:35:00,548.63,548.8,548.47,548.78,181652
2025-06-27 13:40:00,548.78,548.99,547.7,548.28,550296
2025-06-27 13:45:00,548.27,548.27,547.13,547.45,967586
2025-06-27 13:50:00,547.41,547.79,547.02,547.51,628522
2025-06-27 13:55:00,547.5,548.04,546.95,547.89,667948
2025-06-27 14:00:00,547.89,547.96,547.52,547.715,600536
2025-06-27 14:05:00,547.71,548.02,547.62,547.72,340430
2025-06-27 14:10:00,547.72,547.85,547.16,547.29,298187
2025-06-27 14:15:00,547.29,547.46,546.48,546.8,475849
2025-06-27 14:20:00,546.8,547.03,546.38,546.86,598019
2025-06-27 14:25:00,546.86,547.06,546.18,546.18,476561
2025-06-27 14:30:00,546.19,546.425,545.75,546.26,920064
2025-06-27 14:35:00,546.27,546.39,545.39,545.41,667290
